0,0,0,0
2,0,1,0
4,0,2,0
6,0,3,0
8,1,0,1
40,5,0,2
42,5,1,1
44,5,2,1
47,5,3,1
48,6,0,3
50,6,1,2
81,10,0,0
82,10,1,3
84,10,2,2
0,0,0,0
2,0,1,0
4,0,2,0
6,0,3,0
8,1,0,1
40,5,0,2
42,5,1,1
44,5,2,1
47,5,3,1
48,6,0,3
50,6,1,2
81,10,0,0
82,10,1,3
84,10,2,2
0,0,0,0
2,0,1,0
4,0,2,0
6,0,3,0
8,1,0,1
40,5,0,2
42,5,1,1
44,5,2,1
47,5,3,1
48,6,0,3
50,6,1,2
81,10,0,0
82,10,1,3
84,10,2,2
0,0,0,0
2,0,1,0
4,0,2,0
6,0,3,0
8,1,0,1
40,5,0,2
42,5,1,1
44,5,2,1
47,5,3,1
48,6,0,3
50,6,1,2
81,10,0,0
82,10,1,3
84,10,2,2
0,0,0,0
2,0,1,0
4,0,2,0
6,0,3,0
21,2,2,1
22,2,3,1
24,3,0,1
26,3,1,1
28,3,2,2
30,3,3,2
32,4,0,2
34,4,1,2
36,4,2,3
13,1,2,1
38,4,3,3
40,5,0,3
0,0,0,0
2,0,1,0
4,0,2,0
6,0,3,0
21,2,2,1
22,2,3,1
24,3,0,1
26,3,1,1
28,3,2,2
30,3,3,2
32,4,0,2
34,4,1,2
36,4,2,3
13,1,2,1
14,1,3,3
16,2,0,3
18,2,1,3
20,2,2,1
38,4,3,0
13,1,2,0
0,0,0,0
2,0,1,0
4,0,2,0
6,0,3,0
15,1,3,1
16,2,0,1
18,2,1,1
20,2,2,1
22,2,3,2
8,1,0,2
10,1,1,2
12,1,2,2
24,3,0,3
26,3,1,3
0,0,0,0
2,0,1,0
4,0,2,0
6,0,3,0
15,1,3,1
16,2,0,1
18,2,1,1
20,2,2,1
22,2,3,2
24,3,0,2
26,3,1,2
28,3,2,2
30,3,3,3
8,1,0,3
10,1,1,3
12,1,2,3
32,4,0,0
34,4,1,0
